,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
MXRA8,0.017852484,0.012559557,0.011421692,-0.012562744,0,0,0,0,0,0,-0.007625674,0.010306033,-0.022460718,0.005295807,0.02115111,0,-0.021309453,0.001263842,0.003533378,0,-0.010396378,-0.011330991,0.008229637,0.017914062,-0.0023488,-0.011351436
AURKAIP1,-0.022447121,0.020175526,0.001301555,0.020891725,0,-0.019666385,-0.061860566,0.011746929,0.025386859,-0.116451891,0.007206184,-0.020807348,0.041131029,0.000972957,-0.017204025,0.006479051,-0.178029425,0.011438066,0.031648712,0.000900471,-0.018498964,-0.014421574,-0.021676453,0,0.021331275,-0.014925274
CCNL2,-0.024443619,0,0.030402902,0.007345179,0.025147532,-0.036523567,0,0,-0.019400572,-0.075504668,0.002713195,0.032110973,0,0,-0.018639161,-0.009220853,-0.098642797,0.019471267,-0.04415472,0,-0.014189619,0.000863091,-0.007989165,0.009767622,-0.014063147,-0.013930659
RP4-758J18.2,0,0.031662568,0,-0.001511129,0,-0.00607973,0,-0.020509848,-0.02129144,-0.016255234,-0.017866679,0.035261642,0,0.002170296,0.006415859,0.036237388,-0.08434049,0,0.008716673,0,0.034078877,-0.042861062,-0.011378583,0.022228287,0.037394418,-0.009377288
MRPL20,-0.048315051,0.069016574,0.0428451,-0.002279809,0.01065844,0,0,0,-0.021113804,-0.137554738,0,-0.003850684,-0.028703687,0.003496139,0,0,-0.143007785,0,0,0.010722056,-0.006802325,0.021462376,0.001433789,-0.018638886,0.076721717,0.020448802
RP4-758J18.13,0,0,0,0,0,0.010733173,0,0,0,0,-0.001364391,0,0,0,0,-0.002959637,0,0,0,0,0,0,0,0,0,0
ANKRD65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-758J18.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,0,0,0,0.003480971,0,0,0,0,0.00124423,0,0,0.00157452,0,0,0.003890029,0,0,0,0,0,0,0,0,0,0,0
ATAD3C,0,0,0,0,0,0,0,0,0,-0.003187165,0,0,0,0.000983272,-0.00038567,0.000233394,0,0,0,0,0,0,0,0,0,0
